timestamp,product_id,type,old_sku,new_sku
2026-07-15T13:00:12+00:00,2094,variation,ASL-sz02,ASL270
2026-07-15T13:00:12+00:00,2123,variation,BOSSLAMGLOSS-sz01,BOSSLAMGLOSS760
2026-07-15T13:00:12+00:00,2124,variation,BOSSLAMGLOSS-sz02,BOSSLAMGLOSS1040
2026-07-15T13:00:12+00:00,2126,variation,BOSSLAMGLOSS-sz04,BOSSLAMGLOSS1300
2026-07-15T13:00:12+00:00,2127,variation,BOSSLAMGLOSS-sz05,BOSSLAMGLOSS1370
2026-07-15T13:00:12+00:00,2128,variation,BOSSLAMGLOSS-sz06,BOSSLAMGLOSS1520
2026-07-15T13:00:12+00:00,2139,variation,C201-sz03,C2011220
2026-07-15T13:00:13+00:00,2149,variation,CF01-sz03,CF011220
2026-07-15T13:00:13+00:00,2153,variation,CF06-sz03,CF061220
2026-07-15T13:00:13+00:00,2274,variation,4930-sz04,4930305
2026-07-15T13:00:13+00:00,2771,variation,CF01-sz05,CF01A4
2026-07-15T13:00:13+00:00,2774,variation,CF01-sz08,CF01203
2026-07-15T13:00:13+00:00,3544,variation,DIGI-FABAQ-sz01,DIGI-FABAQ610
2026-07-15T13:00:13+00:00,3545,variation,DIGI-FABAQ-sz02,DIGI-FABAQ914
2026-07-15T13:00:13+00:00,3546,variation,DIGI-FABAQ-sz03,DIGI-FABAQ1067
2026-07-15T13:00:13+00:00,3549,variation,DIGBA450C-sz01,DIGBA450C1370
2026-07-15T13:00:13+00:00,3550,variation,DIGBA450C-sz02,DIGBA450C1600
2026-07-15T13:00:13+00:00,3551,variation,DIGBABO-sz01,DIGBABO1370
2026-07-15T13:00:13+00:00,3552,variation,DIGBABO-sz02,DIGBABO1600
2026-07-15T13:00:13+00:00,3555,variation,DRYWIPELAM-sz01,DRYWIPELAM1040
2026-07-15T13:00:13+00:00,3556,variation,DRYWIPELAM-sz02,DRYWIPELAM1300
2026-07-15T13:00:13+00:00,3557,variation,DRYWIPELAM-sz03,DRYWIPELAM1530
2026-07-15T13:00:13+00:00,3558,variation,DIGPA150-sz01,DIGPA1501370
2026-07-15T13:00:13+00:00,3559,variation,DIGPA150-sz02,DIGPA1501600
2026-07-15T13:00:13+00:00,3585,variation,EFL-sz01,EFL880
2026-07-15T13:00:13+00:00,3586,variation,EFL-sz02,EFL1300
2026-07-15T13:00:13+00:00,3587,variation,EGL-sz01,EGL500
2026-07-15T13:00:13+00:00,3588,variation,EGL-sz02,EGL760
2026-07-15T13:00:13+00:00,3589,variation,EGL-sz03,EGL1370
2026-07-15T13:00:13+00:00,3590,variation,EGL-sz04,EGL1520
2026-07-15T13:00:13+00:00,3591,variation,EML-sz01,EML760
2026-07-15T13:00:13+00:00,3592,variation,EML-sz02,EML1370
2026-07-15T13:00:13+00:00,3593,variation,EML-sz03,EML1600
2026-07-15T13:00:13+00:00,3594,variation,FLATMATT-sz01,FLATMATT1300
2026-07-15T13:00:13+00:00,3595,variation,FLATMATT-sz02,FLATMATT1520
2026-07-15T13:00:13+00:00,3601,variation,603-sz01,60350
2026-07-15T13:00:13+00:00,3625,variation,180STL-sz01,180STL914
2026-07-15T13:00:13+00:00,3626,variation,180STL-sz02,180STL1270
2026-07-15T13:00:13+00:00,3627,variation,200SGB-sz01,200SGB914
2026-07-15T13:00:13+00:00,3628,variation,200SGB-sz02,200SGB1270
2026-07-15T13:00:13+00:00,3629,variation,200SGB-sz03,200SGB1370
2026-07-15T13:00:13+00:00,3630,variation,200SGB-sz04,200SGB1524
2026-07-15T13:00:13+00:00,3631,variation,230STL-sz01,230STL914
2026-07-15T13:00:13+00:00,3632,variation,230STL-sz02,230STL1270
2026-07-15T13:00:13+00:00,3633,variation,230STL-sz03,230STL1524
2026-07-15T13:00:13+00:00,3634,variation,385STL-sz01,385STL1270
2026-07-15T13:00:13+00:00,3653,variation,142SGC-sz01,142SGC1370
2026-07-15T13:00:13+00:00,3658,variation,M379-sz01,M3791220
2026-07-15T13:00:13+00:00,3680,variation,DIGI-MESH-sz01,DIGI-MESH1370
2026-07-15T13:00:13+00:00,3681,variation,DIGI-MESH-sz02,DIGI-MESH1600
2026-07-15T13:00:13+00:00,3747,variation,P800-sz01,P8001220
2026-07-15T13:00:13+00:00,3759,variation,P801-sz05,P8011220
2026-07-15T13:00:13+00:00,3763,variation,P802-sz01,P8021220
2026-07-15T13:00:13+00:00,3771,variation,P803-sz01,P8031220
2026-07-15T13:00:13+00:00,3779,variation,P804-sz01,P8041220
2026-07-15T13:00:13+00:00,3783,variation,P805-sz01,P8051220
2026-07-15T13:00:13+00:00,3787,variation,P806-sz01,P8061220
2026-07-15T13:00:13+00:00,3799,variation,P807-sz05,P8071220
2026-07-15T13:00:13+00:00,3803,variation,P808-sz01,P8081220
2026-07-15T13:00:13+00:00,3807,variation,P809-sz01,P8091220
2026-07-15T13:00:13+00:00,3811,variation,P810-sz01,P8101220
2026-07-15T13:00:13+00:00,3815,variation,P811-sz01,P8111220
2026-07-15T13:00:13+00:00,3819,variation,P812-sz01,P8121220
2026-07-15T13:00:13+00:00,3827,variation,P813-sz01,P8131220
2026-07-15T13:00:13+00:00,3831,variation,P814-sz01,P8141220
2026-07-15T13:00:13+00:00,3835,variation,P815-sz01,P8151220
2026-07-15T13:00:13+00:00,3839,variation,P816-sz01,P8161220
2026-07-15T13:00:13+00:00,3851,variation,P817-sz05,P8171220
2026-07-15T13:00:13+00:00,3855,variation,P818-sz01,P8181220
2026-07-15T13:00:13+00:00,3863,variation,P819-sz05,P8191220
2026-07-15T13:00:13+00:00,3867,variation,P820-sz01,P8201220
2026-07-15T13:00:13+00:00,3875,variation,P821-sz01,P8211220
2026-07-15T13:00:13+00:00,3879,variation,P822-sz01,P8221220
2026-07-15T13:00:13+00:00,3883,variation,P823-sz01,P8231220
2026-07-15T13:00:13+00:00,3887,variation,P824-sz01,P8241220
2026-07-15T13:00:13+00:00,3891,variation,P825-sz01,P8251220
2026-07-15T13:00:13+00:00,3895,variation,P826-sz01,P8261220
2026-07-15T13:00:13+00:00,3899,variation,P827-sz01,P8271220
2026-07-15T13:00:13+00:00,3903,variation,P828-sz01,P8281220
2026-07-15T13:00:13+00:00,3907,variation,P829-sz01,P8291220
2026-07-15T13:00:13+00:00,3911,variation,P830-sz01,P8301220
2026-07-15T13:00:13+00:00,3915,variation,P832-sz01,P8321220
2026-07-15T13:00:13+00:00,3919,variation,P833-sz01,P8331220
2026-07-15T13:00:13+00:00,3927,variation,P834-sz01,P8341220
2026-07-15T13:00:13+00:00,3935,variation,P835-sz01,P8351220
2026-07-15T13:00:13+00:00,3943,variation,P836-sz01,P8361220
2026-07-15T13:00:13+00:00,3951,variation,P837-sz01,P8371220
2026-07-15T13:00:13+00:00,3955,variation,P838-sz01,P8381220
2026-07-15T13:00:13+00:00,3959,variation,P839-sz01,P8391220
2026-07-15T13:00:13+00:00,3967,variation,P840-sz01,P8401220
2026-07-15T13:00:13+00:00,3971,variation,P841-sz01,P8411220
2026-07-15T13:00:13+00:00,3975,variation,P842-sz01,P8421220
2026-07-15T13:00:13+00:00,3979,variation,P843-sz01,P8431220
2026-07-15T13:00:13+00:00,3983,variation,P844-sz01,P8441220
2026-07-15T13:00:13+00:00,3987,variation,P845-sz01,P8451220
2026-07-15T13:00:13+00:00,3991,variation,P846-sz01,P8461220
2026-07-15T13:00:13+00:00,3999,variation,P847-sz01,P8471220
2026-07-15T13:00:13+00:00,4003,variation,P848-sz01,P8481220
2026-07-15T13:00:13+00:00,4007,variation,P849-sz01,P8491220
2026-07-15T13:00:13+00:00,4015,variation,P850-sz01,P8501220
2026-07-15T13:00:13+00:00,4023,variation,P851-sz01,P8511220
2026-07-15T13:00:13+00:00,4027,variation,P852-sz01,P8521220
2026-07-15T13:00:13+00:00,4031,variation,P853-sz01,P8531220
2026-07-15T13:00:13+00:00,4035,variation,P854-sz01,P8541220
2026-07-15T13:00:13+00:00,4039,variation,P855-sz01,P8551220
2026-07-15T13:00:13+00:00,4047,variation,P856-sz01,P8561220
2026-07-15T13:00:13+00:00,4055,variation,P857-sz01,P8571220
2026-07-15T13:00:13+00:00,4063,variation,P858-sz01,P8581220
2026-07-15T13:00:13+00:00,4071,variation,P859-sz01,P8591220
2026-07-15T13:00:13+00:00,4075,variation,P860-sz01,P8601220
2026-07-15T13:00:13+00:00,4083,variation,P861-sz01,P8611220
2026-07-15T13:00:13+00:00,4087,variation,P862-sz01,P8621220
2026-07-15T13:00:13+00:00,4091,variation,P863-sz01,P8631220
2026-07-15T13:00:13+00:00,4099,variation,P864-sz01,P8641220
2026-07-15T13:00:13+00:00,4107,variation,P865-sz01,P8651220
2026-07-15T13:00:13+00:00,4111,variation,P866-sz01,P8661220
2026-07-15T13:00:13+00:00,4115,variation,P867-sz01,P8671220
2026-07-15T13:00:13+00:00,4119,variation,P868-sz01,P8681220
2026-07-15T13:00:13+00:00,4123,variation,P898-sz01,P8981220
2026-07-15T13:00:13+00:00,4127,variation,P899-sz01,P8991220
2026-07-15T13:00:13+00:00,4134,variation,PP820-sz01,PP820500
2026-07-15T13:00:13+00:00,4135,variation,PP820-sz02,PP820760
2026-07-15T13:00:13+00:00,4136,variation,PP820-sz03,PP8201372
2026-07-15T13:00:13+00:00,4137,variation,PP820-sz04,PP8201524
2026-07-15T13:00:13+00:00,4138,variation,PP1203-sz01,PP12031370
2026-07-15T13:00:13+00:00,4139,variation,PP1203-sz02,PP12031600
2026-07-15T13:00:13+00:00,4140,variation,PP1235-sz01,PP12351370
2026-07-15T13:00:13+00:00,4150,variation,RJO75-sz01,RJO751370
2026-07-15T13:00:13+00:00,4153,variation,RJ100-sz01,RJ1001370
2026-07-15T13:00:13+00:00,4155,variation,RJ100AF-sz01,RJ100AF1370
2026-07-15T13:00:13+00:00,4156,variation,RJ100BA-sz01,RJ100BA1370
2026-07-15T13:00:13+00:00,4157,variation,RJ100BA-sz02,RJ100BA1600
2026-07-15T13:00:13+00:00,4164,variation,RJ75-sz01,RJ75760
2026-07-15T13:00:13+00:00,4165,variation,RJ75-sz02,RJ751600
